"文件","来源类别","页面来源","图片直链","采集日期","内容标签","版本说明"
"03_玩家与评测/galaxy-of-geek_01_Battle雷击与暴击.jpg","同期评测","https://galaxyofgeek.com/2012/04/15/review-defender-ii-android-monsters-crossbows-and-fireballs-oh-my/","https://i0.wp.com/galaxyofgeek.com/wp-content/uploads/2012/04/04-15-12_review_defender_screen_1.jpg?ssl=1","2026-09-01","Battle;雷击;Fatal;多重箭","2012-04 同期 Android 实机图"
"03_玩家与评测/galaxy-of-geek_02_Battle熔岩沟与火球.jpg","同期评测","https://galaxyofgeek.com/2012/04/15/review-defender-ii-android-monsters-crossbows-and-fireballs-oh-my/","https://i0.wp.com/galaxyofgeek.com/wp-content/uploads/2012/04/04-15-12_review_defender_screen_2.jpg?ssl=1","2026-09-01","Battle;熔岩沟;火球;爆炸","2012-04 同期 Android 实机图"
"03_玩家与评测/galaxy-of-geek_03_Battle怪群与多重箭.jpg","同期评测","https://galaxyofgeek.com/2012/04/15/review-defender-ii-android-monsters-crossbows-and-fireballs-oh-my/","https://i0.wp.com/galaxyofgeek.com/wp-content/uploads/2012/04/04-15-12_review_defender_screen_3.jpg?ssl=1","2026-09-01","Battle;怪群;多重箭;Fatal","2012-04 同期 Android 实机图"
"03_玩家与评测/galaxy-of-geek_04_Battle火系技能.jpg","同期评测","https://galaxyofgeek.com/2012/04/15/review-defender-ii-android-monsters-crossbows-and-fireballs-oh-my/","https://i0.wp.com/galaxyofgeek.com/wp-content/uploads/2012/04/04-15-12_review_defender_screen_4.jpg?ssl=1","2026-09-01","Battle;火系技能;Fatal","2012-04 同期 Android 实机图"
"03_玩家与评测/it-blog_01_Status与模式选择.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-29-10.png","2026-09-01","Status;Local;Battle;玩家等级;胜负统计","2012-11 同期 Android 实机图"
"03_玩家与评测/it-blog_02_攻击研究树.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-29-26.png","2026-09-01","Research;攻击;Strength;Agility;技能前置","2012-11 同期 Android 实机图"
"03_玩家与评测/it-blog_03_魔法研究树.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-29-43.png","2026-09-01","Research;魔法;Mana;火冰雷","2012-11 同期 Android 实机图"
"03_玩家与评测/it-blog_04_防御研究树.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-29-49.png","2026-09-01","Research;防御;City Wall;Magic Tower;Lava Moat","2012-11 同期 Android 实机图"
"03_玩家与评测/it-blog_05_Battle火系技能与怪群.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-30-32.png","2026-09-01","Battle;火系技能;怪群;熔岩沟","2012-11 同期 Android 实机图"
"03_玩家与评测/it-blog_06_Battle多重箭与远程敌人.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-31-25.png","2026-09-01","Battle;多重箭;远程敌人;战场留白","2012-11 同期 Android 实机图"
"03_玩家与评测/it-blog_07_Battle怪群与熔岩沟.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-31-59.png","2026-09-01","Battle;大型怪群;熔岩沟;城墙压力","2012-11 同期 Android 实机图"
"03_玩家与评测/it-blog_08_Battle飞行与远程敌人.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-32-50.png","2026-09-01","Battle;飞行敌人;远程敌人;技能槽","2012-11 同期 Android 实机图"
"03_玩家与评测/it-blog_09_GameOver结算.png","同期评测","https://www.it-blog.ro/review-defender-ii","https://www.it-blog.ro/wp-content/uploads/2012/11/Screenshot_2012-11-22-14-34-59.png","2026-09-01","Game Over;Battle;Fatal;失败反馈","2012-11 同期 Android 实机图"
"03_玩家与评测/unwire_01_主菜单.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1543.jpg","2026-09-01","主菜单;标题画面;广告占位","2012-03 同期 Android 实机图"
"03_玩家与评测/unwire_02_Stage1战斗HUD.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1544.jpg","2026-09-01","Stage 1;战斗HUD;箭矢;技能槽","2012-03 同期 Android 实机图"
"03_玩家与评测/unwire_03_StageComplete结算.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1545.jpg","2026-09-01","Stage Complete;XP;击杀;生命;金币;水晶","2012-03 同期 Android 实机图"
"03_玩家与评测/unwire_04_攻击研究树.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1545_1.jpg","2026-09-01","Research;攻击;Strength;Agility","2012-03 同期 Android 实机图"
"03_玩家与评测/unwire_05_魔法研究树.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1545_2.jpg","2026-09-01","Research;魔法;Mana;火冰雷","2012-03 同期 Android 实机图"
"03_玩家与评测/unwire_06_防御研究树.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1545_3.jpg","2026-09-01","Research;防御;City Wall;Magic Tower;Lava Moat","2012-03 同期 Android 实机图"
"03_玩家与评测/unwire_07_金币水晶商店.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1549.jpg","2026-09-01","商店;金币;水晶;IAP;广告占位","2012-03 同期 Android 实机图；价格仅作历史参考"
"03_玩家与评测/unwire_08_武器弩研究页.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1549_1.jpg","2026-09-01","Research;武器;弩;Hurricane;锁定节点","2012-03 同期 Android 实机图"
"03_玩家与评测/unwire_09_Battle解锁与状态页.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1551.jpg","2026-09-01","Status;Battle等级2解锁;角色引导","2012-03 同期 Android 实机图"
"03_玩家与评测/unwire_10_Honor成就弹窗.jpg","同期评测","https://unwire.hk/2012/03/27/great-tower-defence-game-defender-ii/news/","https://cdn.unwire.hk/wp-content/uploads/2012/03/screenshot_2012-03-26_1551_1.jpg","2026-09-01","Honor;Big Spender;成就弹窗","2012-03 同期 Android 实机图"
